country,probe_count
DE,1606
US,1504
FR,890
RU,632
GB,616
NL,552
PT,392
CH,322
IT,311
CZ,290
CA,270
AT,234
UA,219
PL,206
SE,205
AU,199
JP,186
BE,174
ES,157
FI,137
DK,126
IN,113
IR,113
NO,111
GR,105
IE,93
SG,91
ZA,76
NZ,72
RO,72
BG,72
BR,69
HU,59
KZ,56
TR,54
SK,49
SI,46
LT,42
ID,42
LU,40
RS,39
CN,38
LV,37
IL,36
HK,33
EE,32
HR,31
CL,30
AR,30
RE,29
BY,27
MY,27
AL,24
MX,24
KR,19
UY,17
AE,17
PH,17
KE,16
TH,15
IS,15
TW,15
AM,14
SA,14
BA,13
GE,13
CO,11
DO,10
EC,10
GU,9
VN,9
BO,9
CY,8
LB,8
MD,8
TJ,8
MT,8
MK,7
GT,7
AD,7
TN,6
IQ,6
CR,6
TZ,6
NP,6
UG,6
JO,6
PE,6
LK,6
CM,6
PF,6
MZ,5
VE,5
UZ,5
BJ,5
SN,4
NC,4
BW,4
MV,4
KW,4
AZ,4
GH,4
PA,4
MU,4
MN,4
BD,4
OM,4
KG,4
ME,4
QA,3
BF,3
RW,3
TT,3
PY,3
TG,3
NA,3
ET,3
ZM,3
HN,3
LC,3
LI,3
GP,3
IM,2
VU,2
SJ,2
KH,2
MA,2
BI,2
MG,2
SD,2
SS,2
DZ,2
EG,2
YE,2
MW,2
PR,2
SM,2
FJ,2
BB,2
BZ,2
BH,2
AX,1
GI,1
PK,1
SX,1
TO,1
VI,1
CU,1
DJ,1
CD,1
BN,1
AO,1
WS,1
CK,1
GF,1
CW,1
GG,1
MQ,1
ZW,1
CI,1
KY,1
AQ,1
GL,1
FM,1
LA,1
NG,1
TL,1
BL,1
NI,1
PS,1
KN,1
